CUSTOMER_ID,AGE,GENDER,CITY,PLAN_TYPE
CUST00001,61,Male,Lake Richardfurt,Bronze
CUST00002,72,Female,North Victorberg,Bronze
CUST00003,30,Female,Port Eric,Standard
CUST00004,74,Female,North Eric,Bronze
CUST00005,63,Female,North Eric,Standard
CUST00006,66,Female,Port Amber,Standard
CUST00007,19,Male,New Dana,Standard
CUST00008,52,Male,New Tanyachester,Bronze
CUST00009,20,Female,Laneborough,Standard
CUST00010,84,Male,West Cynthiaville,Silver
CUST00011,63,Male,Woodland,Gold
CUST00012,32,Male,New Jasonview,Silver
CUST00013,75,Female,Alexandramouth,Standard
CUST00014,47,Female,Lake Jennifer,Silver
CUST00015,51,Male,Bryanburgh,Gold
CUST00016,29,Male,West Johnathan,Bronze
CUST00017,49,Male,East Micheal,Silver
CUST00018,43,Female,Shellyview,Gold
CUST00019,83,Female,East Christopher,Gold
CUST00020,40,Female,West Jenniferport,Silver
CUST00021,69,Female,Lynnland,Silver
CUST00022,43,Male,Port Robert,Gold
CUST00023,35,Male,South Jennifer,Silver
CUST00024,73,Male,North Daniel,Bronze
CUST00025,83,Female,West Mitchelltown,Standard
CUST00026,65,Male,Michaelstad,Bronze
CUST00027,73,Female,New Mark,Standard
CUST00028,73,Male,Mosleymouth,Standard
CUST00029,80,Female,North Rodney,Gold
CUST00030,30,Male,Newmanstad,Silver
CUST00031,32,Male,Kimberlyport,Standard
CUST00032,61,Male,New Melissachester,Bronze
CUST00033,20,Male,Cartermouth,Bronze
CUST00034,47,Male,East Kimberlymouth,Silver
CUST00035,58,Female,Tinaton,Standard
CUST00036,50,Female,North Michaelside,Bronze
CUST00037,23,Male,Jenniferbury,Gold
CUST00038,42,Female,West David,Gold
CUST00039,76,Female,Larsenstad,Standard
CUST00040,48,Male,Lewisburgh,Bronze
CUST00041,67,Female,Joshuaton,Standard
CUST00042,24,Male,South Kelly,Gold
CUST00043,68,Male,Kellytown,Standard
CUST00044,37,Male,Jonesburgh,Bronze
CUST00045,58,Female,Medinatown,Bronze
CUST00046,31,Male,Wrightfurt,Standard
CUST00047,52,Female,Rhondafort,Silver
CUST00048,67,Male,Lake Lisa,Gold
CUST00049,35,Female,Kathrynburgh,Silver
CUST00050,26,Female,East Austin,Silver
CUST00051,65,Female,Hernandezview,Bronze
CUST00052,26,Male,Edwardsport,Bronze
CUST00053,58,Male,East Jennifer,Bronze
CUST00054,77,Female,Erinland,Bronze
CUST00055,46,Male,Williammouth,Bronze
CUST00056,48,Male,Reevesmouth,Silver
CUST00057,57,Male,East Davidburgh,Silver
CUST00058,69,Female,East Tyler,Bronze
CUST00059,32,Male,Lake Chadview,Gold
CUST00060,45,Female,Hamiltonside,Silver
CUST00061,67,Male,Jacksonborough,Standard
CUST00062,26,Female,Hernandezland,Gold
CUST00063,71,Male,New Patrickstad,Silver
CUST00064,55,Female,Frenchburgh,Bronze
CUST00065,22,Female,Lake Jennifer,Standard
CUST00066,28,Male,Mcdonaldbury,Bronze
CUST00067,84,Male,East Robertmouth,Silver
CUST00068,55,Male,Evanfort,Gold
CUST00069,56,Male,Smithton,Silver
CUST00070,50,Female,Kellyburgh,Gold
CUST00071,51,Female,Deannastad,Silver
CUST00072,80,Male,North Jenniferberg,Bronze
CUST00073,46,Male,Harttown,Gold
CUST00074,37,Female,Port Micheletown,Standard
CUST00075,71,Male,Paulbury,Gold
CUST00076,33,Male,Tammyfort,Standard
CUST00077,70,Female,Jasonfurt,Bronze
CUST00078,73,Male,Gilbertchester,Silver
CUST00079,37,Female,Lake Ericafurt,Bronze
CUST00080,46,Female,Port Tiffany,Bronze
CUST00081,29,Male,Jessicahaven,Gold
CUST00082,71,Male,Summermouth,Silver
CUST00083,61,Male,Lake Michaelside,Gold
CUST00084,83,Male,Stephenschester,Bronze
CUST00085,83,Male,Port Loriburgh,Gold
CUST00086,55,Male,East Christopherchester,Standard
CUST00087,68,Female,Taraview,Standard
CUST00088,27,Female,Michelleland,Bronze
CUST00089,53,Male,Domingueztown,Gold
CUST00090,47,Female,New Nancy,Silver
CUST00091,20,Male,Port Kelliburgh,Silver
CUST00092,62,Female,Mckeemouth,Gold
CUST00093,71,Male,North Louis,Silver
CUST00094,64,Female,Stephenhaven,Bronze
CUST00095,61,Female,Gardnerfurt,Standard
CUST00096,63,Female,Lake Andres,Standard
CUST00097,34,Female,North Stevenport,Standard
CUST00098,20,Female,New Stacy,Silver
CUST00099,70,Male,New Tracey,Standard
CUST00100,33,Female,Elizabethburgh,Gold
CUST00101,48,Female,Taylorside,Silver
CUST00102,37,Female,Karenshire,Gold
CUST00103,84,Female,Adamton,Standard
CUST00104,35,Female,Evansburgh,Silver
CUST00105,32,Male,Smithville,Silver
CUST00106,34,Female,Wolfstad,Silver
